Carbon,pH,EC,Nitrogen,Phosphorus,Potassium,Crop_Name,mean_smi,mean_ndwi,mean_msi,SFI,Fertility_Level,Ideal_Crop
0.25,8.3,34.0,125.44,18.42,411.9,Soyabean,0.44134991,-0.189806211,1.104933786,2.0,Medium,Cotton
0.37,7.4,76.0,141.12,24.56,886.05,Soyabean,0.442238832,-0.194077899,1.071673835,2.0,Medium,Cotton
0.83,7.9,23.0,141.12,10.31,570.33,Soyabean,0.377150807,-0.206109487,1.100386574,2.3333333333333335,High,Soyabean
0.62,7.9,55.00000000000001,235.2,17.76,390.78,Soyabean,0.350356002,-0.207219681,1.106081247,2.1666666666666665,Medium,Sorghum
0.61,7.4,34.0,407.68,22.37,760.44,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Wheat
0.8,7.2,39.0,203.84,37.5,333.97,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Sugarcane
0.54,7.3,28.000000000000004,172.48,20.18,802.68,Soyabean,0.457647467,-0.183502115,1.067500576,2.1666666666666665,Medium,Onion
0.57,7.9,49.0,125.44,11.18,433.03,Soyabean,0.43106367,-0.179595475,1.084987248,2.1666666666666665,Medium,Cotton
0.77,8.1,57.99999999999999,109.76,20.18,464.71,Soyabean,0.290464336,-0.228108514,1.123647835,2.5,High,Soyabean
0.6,8.0,42.0,156.8,18.42,443.59,Soyabean,0.365794768,-0.178480292,1.128959651,2.1666666666666665,Medium,Onion
0.51,7.4,44.0,188.16,13.82,316.85,Soyabean,0.262196561,-0.220129137,1.118284297,2.0,Medium,Onion
0.5,7.5,32.0,219.52,26.32,887.17,Soyabean,0.261488069,-0.232295434,1.132387589,2.1666666666666665,Medium,Onion
0.41,7.4,28.999999999999996,125.44,16.89,665.38,Soyabean,0.488084454,-0.201002358,1.067660243,1.8333333333333333,Medium,Cotton
0.53,7.3,40.0,141.12,12.72,633.7,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.69,7.5,45.0,360.64,18.2,718.19,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Sorghum
0.3,8.1,31.0,109.76,27.41,675.94,Soyabean,0.31875599,-0.187936511,1.111034211,2.1666666666666665,Medium,Cotton
0.68,8.0,43.0,266.56,30.04,464.71,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Rice
0.62,7.9,45.0,94.08,28.73,411.9,Soyabean,0.488084454,-0.201002358,1.067660243,2.3333333333333335,High,Soyabean
1.03,7.5,32.0,266.56,25.88,686.5,Soyabean,0.488084454,-0.201002358,1.067660243,2.5,High,Rice
0.23,7.8,35.0,172.48,18.2,517.52,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
0.41,7.5,40.0,235.2,23.68,464.71,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Sorghum
0.47,7.5,39.0,172.48,22.15,316.85,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
0.67,7.6,36.0,141.12,18.86,549.2,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Cotton
0.73,8.0,37.0,156.8,14.47,369.66,Soyabean,0.488084454,-0.201002358,1.067660243,2.1666666666666665,Medium,Cotton
0.38,7.6,34.0,313.6,25.44,517.52,Soyabean,0.373188983,-0.168437775,1.126181997,2.3333333333333335,High,Wheat
1.09,7.1,26.0,172.48,19.08,295.72,Soyabean,0.403352733,-0.175620118,1.080966106,2.0,Medium,Onion
0.77,7.9,64.0,188.16,13.38,591.45,Soyabean,0.413650402,-0.174688639,1.073219829,2.3333333333333335,High,Potato
0.29,7.7,55.00000000000001,156.8,27.63,359.09,Soyabean,0.418208071,-0.17822399,1.079872651,2.1666666666666665,Medium,Onion
0.41,7.4,35.0,94.08,28.73,411.9,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.44,7.4,72.0,62.72,21.49,528.08,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.43,7.6,85.0,141.12,14.25,369.66,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.45,7.9,56.00000000000001,109.76,14.47,549.2,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.3,7.3,40.0,172.48,25.88,749.87,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Onion
0.23,7.6,44.0,94.08,18.42,591.45,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.41,8.1,52.0,109.76,17.76,623.13,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
0.38,7.2,45.0,172.48,10.96,162.57,Soyabean,0.488084454,-0.201002358,1.067660243,1.6666666666666667,Low,Tomato
0.7,7.5,85.0,109.76,13.38,771.0,Soyabean,0.488084454,-0.201002358,1.067660243,2.0,Medium,Cotton
